[078] N:37.523695 - E:139.939373 / MAC address: 6C:71:D9:73:EF:2D / RSSI: -51 / Time: Sat May  6 20:02:07 2017
[079] N:37.523700 - E:139.939373 / MAC address: 88:57:EE:BB:5E:6D / RSSI: -85 / Time: Sat May  6 20:02:10 2017
[080] N:37.523705 - E:139.939373 / MAC address: 74:C6:3B:6A:36:55 / RSSI: -81 / Time: Sat May  6 20:02:10 2017
[081] N:37.523708 - E:139.939373 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -67 / Time: Sat May  6 20:02:11 2017
[082] N:37.523713 - E:139.939378 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -68 / Time: Sat May  6 20:02:11 2017
[083] N:37.523715 - E:139.939378 / MAC address: 1C:1A:C0:7F:35:74 / RSSI: -87 / Time: Sat May  6 20:02:13 2017
[084] N:37.523715 - E:139.939380 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -68 / Time: Sat May  6 20:02:13 2017
[085] N:37.523715 - E:139.939382 / MAC address: 98:F1:70:4B:6C:CF / RSSI: -80 / Time: Sat May  6 20:02:15 2017
[086] N:37.523715 - E:139.939378 / MAC address: 98:F1:70:4B:6C:CF / RSSI: -79 / Time: Sat May  6 20:02:15 2017
[087] N:37.523717 - E:139.939380 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -67 / Time: Sat May  6 20:02:18 2017
[088] N:37.523718 - E:139.939378 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -71 / Time: Sat May  6 20:02:18 2017
[089] N:37.523718 - E:139.939380 / MAC address: B8:81:98:C5:55:D5 / RSSI: -82 / Time: Sat May  6 20:02:19 2017
[090] N:37.523720 - E:139.939377 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -68 / Time: Sat May  6 20:02:20 2017
[091] N:37.523718 - E:139.939372 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -67 / Time: Sat May  6 20:02:20 2017
[092] N:37.523715 - E:139.939367 / MAC address: A4:17:31:1E:00:63 / RSSI: -54 / Time: Sat May  6 20:02:24 2017
[093] N:37.523713 - E:139.939360 / MAC address: A4:17:31:1E:00:63 / RSSI: -54 / Time: Sat May  6 20:02:24 2017
[094] N:37.523712 - E:139.939355 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -67 / Time: Sat May  6 20:02:24 2017
[095] N:37.523713 - E:139.939352 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -67 / Time: Sat May  6 20:02:24 2017
[096] N:37.523712 - E:139.939348 / MAC address: B8:27:EB:D5:23:78 / RSSI: -56 / Time: Sat May  6 20:02:25 2017
[097] N:37.523710 - E:139.939345 / MAC address: B8:27:EB:D5:23:78 / RSSI: -61 / Time: Sat May  6 20:02:25 2017
[098] N:37.523708 - E:139.939335 / MAC address: B8:27:EB:D5:23:78 / RSSI: -56 / Time: Sat May  6 20:02:25 2017
[099] N:37.523707 - E:139.939330 / MAC address: B8:27:EB:D5:23:78 / RSSI: -56 / Time: Sat May  6 20:02:25 2017
[100] N:37.523705 - E:139.939325 / MAC address: B8:27:EB:D5:23:78 / RSSI: -69 / Time: Sat May  6 20:02:25 2017
[101] N:37.523702 - E:139.939318 / MAC address: A4:17:31:1E:00:63 / RSSI: -52 / Time: Sat May  6 20:02:26 2017
[102] N:37.523690 - E:139.939308 / MAC address: B8:81:98:C5:55:D5 / RSSI: -83 / Time: Sat May  6 20:02:26 2017
[103] N:37.523687 - E:139.939303 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -69 / Time: Sat May  6 20:02:26 2017
[104] N:37.523683 - E:139.939297 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -69 / Time: Sat May  6 20:02:27 2017
[105] N:37.523680 - E:139.939292 / MAC address: B4:B6:76:D6:3E:1D / RSSI: -84 / Time: Sat May  6 20:02:31 2017
[106] N:37.523673 - E:139.939282 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -69 / Time: Sat May  6 20:02:31 2017
[107] N:37.523673 - E:139.939280 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -69 / Time: Sat May  6 20:02:31 2017
[108] N:37.523673 - E:139.939278 / MAC address: 06:F5:36:E3:6E:07 / RSSI: 0 / Time: Sat May  6 20:02:32 2017
[109] N:37.523673 - E:139.939278 / MAC address: 9D:02:42:BA:32:24 / RSSI: 0 / Time: Sat May  6 20:02:33 2017
[110] N:37.523673 - E:139.939275 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -69 / Time: Sat May  6 20:02:33 2017
[111] N:37.523673 - E:139.939273 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -68 / Time: Sat May  6 20:02:33 2017
[112] N:37.523673 - E:139.939273 / MAC address: 70:18:8B:80:C9:E3 / RSSI: -38 / Time: Sat May  6 20:02:33 2017
[113] N:37.523673 - E:139.939272 / MAC address: 70:18:8B:80:C9:E3 / RSSI: -46 / Time: Sat May  6 20:02:33 2017
[114] N:37.523673 - E:139.939270 / MAC address: 70:18:8B:80:C9:E3 / RSSI: -45 / Time: Sat May  6 20:02:34 2017
[115] N:37.523673 - E:139.939270 / MAC address: 70:18:8B:80:C9:E3 / RSSI: -44 / Time: Sat May  6 20:02:34 2017
[116] N:37.523673 - E:139.939270 / MAC address: 70:18:8B:80:C9:E3 / RSSI: -51 / Time: Sat May  6 20:02:34 2017
